CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1985-04-01 00:00,mm,373,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1985-05-01 00:00,mm,160.7,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1985-06-01 00:00,mm,10.8,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1985-07-01 00:00,mm,35.5,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1985-08-01 00:00,mm,69.1,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1985-09-01 00:00,mm,210.8,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1985-10-01 00:00,mm,208.6,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1985-11-01 00:00,mm,79.8,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1985-12-01 00:00,mm,5.2,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1986-01-01 00:00,mm,194.8,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1986-02-01 00:00,mm,334.2,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1986-03-01 00:00,mm,125.6,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1986-04-01 00:00,mm,508.1,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1986-05-01 00:00,mm,161.3,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1986-06-01 00:00,mm,128.5,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1986-07-01 00:00,mm,1.3,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1986-08-01 00:00,mm,84.2,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1986-09-01 00:00,mm,112.1,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1986-10-01 00:00,mm,279.2,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1986-11-01 00:00,mm,88.6,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1986-12-01 00:00,mm,68.5,Definitivo
